geoChatMessagesId,geoChatId,trailId,userId,userMessage,Flag
138734,0,762306,160695,[[@250110]] That's a huge compliment.Thank you. :),
173871,0,956374,84501,"Hey awesome experience, do you have any tips on camping in that area?",
180251,0,121150,19574,Jhakaas ekdum,
190122,0,987828,297834,[[@82999]]  ty,
225597,0,1161843,350493,Sure. Do ping me whenever you need.,
312141,0,1656168,86093,"The trail name and the images are so vivid and interesting, I wish the content would be a little more clear!",
386321,0,1710186,889905,Wowww it's amazing,
126312,0,830323,85082,"The trail looks so amazing, just wish it would be a little more innovative!",
278471,0,1456624,447754,"A great place to try out at Cyber city, not to heavy on pocket but good food and environment. On my first visit to DLF Cyber City, Gurgaon, I visited The Drunken Botanist which was a place which for some reason instantly lifted my mood. The decor is inviting, the food is delicious and the overall satisfaction is guaranteed.",
288566,0,1523578,83467,Sahi banaya he !!,
419826,0,2340667,40234,hollywood/bollywood?,
419954,0,2340053,5484,amazing,
423273,0,2278968,47697,when place is this,
26911,0,601567,41026,"i love the way you travel, when are posting more our your stories?",
50145,0,656659,41122,The images in your trail are so amazing and clear!,
93678,0,761514,210863,"A very nice place to have snacks...
Classy interior, lajawab taste and good hospitality ....go n visit your near goodies cafeteria [[@1]]",
189317,0,981805,295937,[[@83282]] Hi  Yes I Will Keep That In Mind And Give More Description About The Places....,
249339,0,1259736,272715,[[@76273]] thanks,
298196,0,1575662,88360,The content and the images don't sit well with one another!,
353736,0,1920557,49475,"The pictures are so vivid it almost makes me want to visit there myself, but there's no details to it! wish to see some the next time!",
30484,0,300586,81996,I myself have been to this place and your pictures brought back such good memories! How brilliant!,
88338,0,743884,220943,"[[@40725]] this is Mawkneng view point  in East Khasi Hills District of Meghalaya, India. It is located 26 KM towards west from District head quarters Shillong. ?",
102063,0,781696,86749,"Must appreciate your photography skills, but you lost me with the content bit. ",
186552,0,976306,86861,"Must appreciate your photography skills, but you lost me with the content bit. ",
355203,0,1932376,85208,"I am so trying this out soon, do you have any suggestions or tips?",
386536,0,2261346,894147,Nice,
397768,0,2291200,7206,This is damn beautiful!,
464263,0,2267061,2234544,Wow yrrrrr,
11293,0,419732,7513,great work!!!,
17166,46401,0,163537,Amazing,
22105,0,588527,176272,This was our onward journey.. you can camp in dapoli,
54518,265053,0,169701,[[@177230]] is it so many full stop?:p,
121187,0,47043,79894,"Any traveller would be enthused to set out on a journey after going through your trail, so it'd be great if you could provide more details about the routes!",
141413,0,861676,80284,can't wait to read about your next adventure,
157784,0,910957,79803,loved your stories! wondering what your next trail would be?,
228414,0,1171898,52496,Heavenly ?,
245966,0,1194949,86275,"This trail looks really nice, but I wish there could be more information about it!",
258283,0,820656,407085,??,
351840,0,1889478,445798,"Check out the following link to have fun for next 2 days in Pondicherry... 

https://trell.co/trail/enchanting-tamil-nadu-and-god-s-own-country-kerala-1-e3a1cd4c68be",
379649,0,2221534,757017,Beautiful,
448216,0,2395477,222080,Hi,
77241,0,726716,45096,you're really good at this story telling you must share morer of your adventures,
